Id,ActivityHour,StepTotal
7007744171,4/12/2016 12:00,153
7086361926,4/12/2016 12:00,156
8053475328,4/12/2016 12:00,130
8253242879,4/12/2016 12:00,463
8378563200,4/12/2016 12:00,199
8583815059,4/12/2016 12:00,327
8792009665,4/12/2016 12:00,291
8877689391,4/12/2016 12:00,8043
1503960366,4/12/2016 13:00,221
1624580081,4/12/2016 13:00,67
1644430081,4/12/2016 13:00,5
1844505072,4/12/2016 13:00,377
1927972279,4/12/2016 13:00,0
2022484408,4/12/2016 13:00,658
2026352035,4/12/2016 13:00,38
2320127002,4/12/2016 13:00,408
2347167796,4/12/2016 13:00,371
2873212765,4/12/2016 13:00,637
3372868164,4/12/2016 13:00,383
3977333714,4/12/2016 13:00,4112
4020332650,4/12/2016 13:00,251
4057192912,4/12/2016 13:00,459
4319703577,4/12/2016 13:00,0
4388161847,4/12/2016 13:00,0
4445114986,4/12/2016 13:00,436
4558609924,4/12/2016 13:00,277
4702921684,4/12/2016 13:00,20
5553957443,4/12/2016 13:00,459
5577150313,4/12/2016 13:00,142
6117666160,4/12/2016 13:00,0
6290855005,4/12/2016 13:00,633
6775888955,4/12/2016 13:00,0
6962181067,4/12/2016 13:00,26
7007744171,4/12/2016 13:00,375
7086361926,4/12/2016 13:00,1494
8053475328,4/12/2016 13:00,85
8253242879,4/12/2016 13:00,64
8378563200,4/12/2016 13:00,987
8583815059,4/12/2016 13:00,807
8792009665,4/12/2016 13:00,7
8877689391,4/12/2016 13:00,321
1503960366,4/12/2016 14:00,1166
1624580081,4/12/2016 14:00,43
1644430081,4/12/2016 14:00,539
1844505072,4/12/2016 14:00,301
1927972279,4/12/2016 14:00,169
2022484408,4/12/2016 14:00,2168
2026352035,4/12/2016 14:00,27
2320127002,4/12/2016 14:00,1372
2347167796,4/12/2016 14:00,47
2873212765,4/12/2016 14:00,169
3372868164,4/12/2016 14:00,479
3977333714,4/12/2016 14:00,2257
4020332650,4/12/2016 14:00,442
4057192912,4/12/2016 14:00,306
4319703577,4/12/2016 14:00,0
4388161847,4/12/2016 14:00,0
4445114986,4/12/2016 14:00,81
4558609924,4/12/2016 14:00,561
4702921684,4/12/2016 14:00,257
5553957443,4/12/2016 14:00,0
5577150313,4/12/2016 14:00,14
6117666160,4/12/2016 14:00,0
6290855005,4/12/2016 14:00,248
6775888955,4/12/2016 14:00,0
6962181067,4/12/2016 14:00,76
7007744171,4/12/2016 14:00,123
7086361926,4/12/2016 14:00,0
8053475328,4/12/2016 14:00,4060
8253242879,4/12/2016 14:00,332
8378563200,4/12/2016 14:00,618
8583815059,4/12/2016 14:00,250
8792009665,4/12/2016 14:00,7
8877689391,4/12/2016 14:00,12
1503960366,4/12/2016 15:00,2063
1624580081,4/12/2016 15:00,0
1644430081,4/12/2016 15:00,79
1844505072,4/12/2016 15:00,643
1927972279,4/12/2016 15:00,12
2022484408,4/12/2016 15:00,327
2026352035,4/12/2016 15:00,231
2320127002,4/12/2016 15:00,2208
2347167796,4/12/2016 15:00,337
2873212765,4/12/2016 15:00,95
3372868164,4/12/2016 15:00,314
3977333714,4/12/2016 15:00,55
4020332650,4/12/2016 15:00,729
4057192912,4/12/2016 15:00,232
4319703577,4/12/2016 15:00,0
4388161847,4/12/2016 15:00,0
4445114986,4/12/2016 15:00,332
4558609924,4/12/2016 15:00,24
4702921684,4/12/2016 15:00,6
5553957443,4/12/2016 15:00,80
5577150313,4/12/2016 15:00,200
6117666160,4/12/2016 15:00,0
6290855005,4/12/2016 15:00,502
6775888955,4/12/2016 15:00,0
6962181067,4/12/2016 15:00,214
7007744171,4/12/2016 15:00,397
7086361926,4/12/2016 15:00,201
8053475328,4/12/2016 15:00,0
8253242879,4/12/2016 15:00,32
8378563200,4/12/2016 15:00,298
8583815059,4/12/2016 15:00,265
8792009665,4/12/2016 15:00,83
8877689391,4/12/2016 15:00,1024
1503960366,4/12/2016 16:00,344
1624580081,4/12/2016 16:00,79
1644430081,4/12/2016 16:00,156
1844505072,4/12/2016 16:00,456
1927972279,4/12/2016 16:00,77
2022484408,4/12/2016 16:00,539
2026352035,4/12/2016 16:00,20
2320127002,4/12/2016 16:00,771
2347167796,4/12/2016 16:00,135
2873212765,4/12/2016 16:00,251
3372868164,4/12/2016 16:00,302
3977333714,4/12/2016 16:00,49
4020332650,4/12/2016 16:00,406
4057192912,4/12/2016 16:00,661
4319703577,4/12/2016 16:00,0
4388161847,4/12/2016 16:00,0
4445114986,4/12/2016 16:00,399
4558609924,4/12/2016 16:00,684
4702921684,4/12/2016 16:00,130
5553957443,4/12/2016 16:00,2192
5577150313,4/12/2016 16:00,1653
6117666160,4/12/2016 16:00,0
6290855005,4/12/2016 16:00,90
6775888955,4/12/2016 16:00,0
6962181067,4/12/2016 16:00,382
7007744171,4/12/2016 16:00,1363
7086361926,4/12/2016 16:00,850
8053475328,4/12/2016 16:00,101
8253242879,4/12/2016 16:00,266
8378563200,4/12/2016 16:00,745
8583815059,4/12/2016 16:00,731
8792009665,4/12/2016 16:00,135
8877689391,4/12/2016 16:00,649
1503960366,4/12/2016 17:00,489
1624580081,4/12/2016 17:00,235
1644430081,4/12/2016 17:00,205
1844505072,4/12/2016 17:00,410
1927972279,4/12/2016 17:00,119
2022484408,4/12/2016 17:00,509
2026352035,4/12/2016 17:00,288
2320127002,4/12/2016 17:00,557
2347167796,4/12/2016 17:00,433
2873212765,4/12/2016 17:00,93
3372868164,4/12/2016 17:00,238
3977333714,4/12/2016 17:00,190
4020332650,4/12/2016 17:00,448
4057192912,4/12/2016 17:00,154
4319703577,4/12/2016 17:00,0
4388161847,4/12/2016 17:00,0
4445114986,4/12/2016 17:00,400
4558609924,4/12/2016 17:00,402
4702921684,4/12/2016 17:00,890
5553957443,4/12/2016 17:00,1243
5577150313,4/12/2016 17:00,229
6117666160,4/12/2016 17:00,0
6290855005,4/12/2016 17:00,0
6775888955,4/12/2016 17:00,0
6962181067,4/12/2016 17:00,333
7007744171,4/12/2016 17:00,914
7086361926,4/12/2016 17:00,5921
8053475328,4/12/2016 17:00,2785
8253242879,4/12/2016 17:00,269
8378563200,4/12/2016 17:00,192
8583815059,4/12/2016 17:00,962
8792009665,4/12/2016 17:00,23
8877689391,4/12/2016 17:00,1648
1503960366,4/12/2016 18:00,1386
1624580081,4/12/2016 18:00,257
1644430081,4/12/2016 18:00,1676
1844505072,4/12/2016 18:00,533
1927972279,4/12/2016 18:00,0
2022484408,4/12/2016 18:00,304
2026352035,4/12/2016 18:00,242
2320127002,4/12/2016 18:00,415
2347167796,4/12/2016 18:00,1546
2873212765,4/12/2016 18:00,737
3372868164,4/12/2016 18:00,271
3977333714,4/12/2016 18:00,289
4020332650,4/12/2016 18:00,268
4057192912,4/12/2016 18:00,632
4319703577,4/12/2016 18:00,0
4388161847,4/12/2016 18:00,0
4445114986,4/12/2016 18:00,100
4558609924,4/12/2016 18:00,398
4702921684,4/12/2016 18:00,620
5553957443,4/12/2016 18:00,321
5577150313,4/12/2016 18:00,222
6117666160,4/12/2016 18:00,0
6290855005,4/12/2016 18:00,0
6775888955,4/12/2016 18:00,0
6962181067,4/12/2016 18:00,936
